name	coding_agg_tps	coding_ttft_p50	longgen_decode_tps	shorts_p50_s	cold_prefill_tps	conc_top_agg_tps	warm_ttft_s	conc_top_decode_p50	conc_top_ttft_max	spec_accept	min_mem_gib	min_clock_mhz	errors	bench_wall_s	foreign_reqs	sanity	cancel	needle	no_errors	mem_floor	clean	clocks	gates_pass	score
swap0-shipped	61.310	12.815	30.980	0.507	1182.200	138.400	1.756	18.235	1.072		9.390	2405	0	970.600		1	0	1	1	1	1	1	0	0.975
live-swap0-shipped-rep	64.650	11.550	32.500	0.465	1156.200	134.130	1.823	18.795	1.486	0.553	10.460	2392	0	556.300	0	1	1	1	1	1	1	1	1	1.000
swap60-shipped	62.160	22.072	31.430	0.546	1168.700	132.530	1.519	17.375	1.074	0.524	7.990	2405	0	562.000	0	1	1	1	1	1	1	1	1	0.887
fat-shipped-swap60	63.890	2.880	31.790	0.498	1361.000	129.400	1.451	17.380	1.059	0.523	10.020	2392	0	538.200	0	1	1	1	1	1	1	1	1	1.280
fat-shipped-swap60-rep	63.010	2.847	34.210	0.531	1355.900	138.170	1.651	18.470	1.066	0.553	9.870	2392	0	526.600	0	1	1	1	1	1	1	1	1	1.309
fat-mnbt4096-swap60	40.480	6.085	31.260	0.468	1396.600	125.720	2.957	16.900	1.287	0.524	8.550	2405	0	683.700	12	1	1	1	1	1	0	1	0	1.044
fat-mnbt7168-swap60	62.630	11.489	38.180	0.491	1450.500	133.510	5.383	17.915	1.059	0.563	9.440	2405	0	512.900	0	1	1	1	1	1	1	1	1	1.061
swap0-mem070	62.060	21.110	31.310	0.483	1191.400	132.450	1.649	18.835	1.482	0.519	14.250	2411	0	561.300	0	1	1	1	1	1	1	1	1	0.895
swap60-mem080-dflash3	36.940	1.124	13.820	2.147	1128.600	32.430	0.665	25.355	109.690	0.720	4.700	2457	0	1070.200	13	1	0	1	1	1	0	1	0	0.806
fat-mnbt4096-swap60-rep	63.630	6.088	32.860	0.514	1382.500	129.010	2.681	17.255	1.461	0.549	8.050	2398	0	530.100	0	1	1	1	1	1	1	1	1	1.138
